
                                      CodeAnalysis - Version 1.4
    ==============================================================================================
     Fri May  5 23:03:43 2017
     Path: "C:\Users\Joy Shalom\Desktop\Actual JF Project 2\RemoteCodePublisher_Spring2017P4_699737418 - Using WPF"
     Args: *.h, *.cpp, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
            FileSystem.cpp    function                          push_back      41       3       1
            FileSystem.cpp    function                         operator[]      47       5       1
            FileSystem.cpp    function                         operator[]      55       5       1
            FileSystem.cpp    function                         operator==      63       3       1
            FileSystem.cpp    function                         operator!=      69       3       1
            FileSystem.cpp    function                               size      75       3       1
            FileSystem.cpp    function                              Block      35       2       1
            FileSystem.cpp    function                          push_back      41       3       1
            FileSystem.cpp    function                         operator[]      47       5       1
            FileSystem.cpp    function                         operator[]      55       5       1
            FileSystem.cpp    function                         operator==      63       3       1
            FileSystem.cpp    function                         operator!=      69       3       1
            FileSystem.cpp    function                               size      75       3       1
            FileSystem.cpp    function                               File      83       2       1
            FileSystem.cpp    function                              ~File      87      13       3
            FileSystem.cpp    function                               open     103      27       3
            FileSystem.cpp    function                            getLine     133      12       1
            FileSystem.cpp    function                            putLine     148      13       1
            FileSystem.cpp    function                           getBlock     164      22       3
            FileSystem.cpp    function                           putBlock     189      14       2
            FileSystem.cpp    function                             isGood     206       9       1
            FileSystem.cpp    function                              flush     218       6       1
            FileSystem.cpp    function                              clear     227       6       1
            FileSystem.cpp    function                              close     236       7       1
            FileSystem.cpp    function                             exists     246       3       1
            FileSystem.cpp    function                               copy     252       3       1
            FileSystem.cpp    function                             remove     258       3       1
            FileSystem.cpp    function                               File      83       2       1
            FileSystem.cpp    function                              ~File      87      13       3
            FileSystem.cpp    function                               open     103      27       3
            FileSystem.cpp    function                            getLine     133      12       1
            FileSystem.cpp    function                            putLine     148      13       1
            FileSystem.cpp    function                           getBlock     164      22       3
            FileSystem.cpp    function                           putBlock     189      14       2
            FileSystem.cpp    function                             isGood     206       9       1
            FileSystem.cpp    function                              flush     218       6       1
            FileSystem.cpp    function                              clear     227       6       1
            FileSystem.cpp    function                              close     236       7       1
            FileSystem.cpp    function                             exists     246       3       1
            FileSystem.cpp    function                               copy     252       3       1
            FileSystem.cpp    function                             remove     258       3       1
            FileSystem.cpp    function                               File      83       2       1
            FileSystem.cpp    function                              ~File      87      13       3
            FileSystem.cpp    function                               open     103      27       3
            FileSystem.cpp    function                            getLine     133      12       1
            FileSystem.cpp    function                            putLine     148      13       1
            FileSystem.cpp    function                           getBlock     164      22       3
            FileSystem.cpp    function                           putBlock     189      14       2
            FileSystem.cpp    function                             isGood     206       9       1
            FileSystem.cpp    function                              flush     218       6       1
            FileSystem.cpp    function                              clear     227       6       1
            FileSystem.cpp    function                              close     236       7       1
            FileSystem.cpp    function                             exists     246       3       1
            FileSystem.cpp    function                               copy     252       3       1
            FileSystem.cpp    function                             remove     258       3       1
            FileSystem.cpp    function                           FileInfo     264       7       1
            FileSystem.cpp    function                               good     274       3       1
            FileSystem.cpp    function                               name     280       3       1
            FileSystem.cpp    function                        intToString     286       6       1
            FileSystem.cpp    function                               date     295      14       1
            FileSystem.cpp    function                               size     312       3       1
            FileSystem.cpp    function                          isArchive     318       3       1
            FileSystem.cpp    function                       isCompressed     324       3       1
            FileSystem.cpp    function                        isDirectory     330       3       1
            FileSystem.cpp    function                        isEncrypted     336       3       1
            FileSystem.cpp    function                           isHidden     342       3       1
            FileSystem.cpp    function                           isNormal     348       3       1
            FileSystem.cpp    function                          isOffLine     354       3       1
            FileSystem.cpp    function                         isReadOnly     360       3       1
            FileSystem.cpp    function                           isSystem     366       3       1
            FileSystem.cpp    function                        isTemporary     372       3       1
            FileSystem.cpp    function                          operator<     378       3       1
            FileSystem.cpp    function                         operator==     384       3       1
            FileSystem.cpp    function                          operator>     390       3       1
            FileSystem.cpp    function                            earlier     396       5       1
            FileSystem.cpp    function                              later     404       5       1
            FileSystem.cpp    function                            smaller     412       3       1
            FileSystem.cpp    function                             larger     418       3       1
            FileSystem.cpp    function                           FileInfo     294       7       1
            FileSystem.cpp    function                               good     305       3       1
            FileSystem.cpp    function                               name     312       3       1
            FileSystem.cpp    function                        intToString     319       6       1
            FileSystem.cpp    function                               date     329      14       1
            FileSystem.cpp    function                               size     347       3       1
            FileSystem.cpp    function                          isArchive     354       3       1
            FileSystem.cpp    function                       isCompressed     361       3       1
            FileSystem.cpp    function                        isDirectory     368       3       1
            FileSystem.cpp    function                        isEncrypted     375       3       1
            FileSystem.cpp    function                           isHidden     382       3       1
            FileSystem.cpp    function                           isNormal     389       3       1
            FileSystem.cpp    function                          isOffLine     396       3       1
            FileSystem.cpp    function                         isReadOnly     403       3       1
            FileSystem.cpp    function                           isSystem     410       3       1
            FileSystem.cpp    function                        isTemporary     417       3       1
            FileSystem.cpp    function                          operator<     424       3       1
            FileSystem.cpp    function                         operator==     431       3       1
            FileSystem.cpp    function                          operator>     438       3       1
            FileSystem.cpp    function                            earlier     445       5       1
            FileSystem.cpp    function                              later     454       5       1
            FileSystem.cpp    function                            smaller     463       3       1
